"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL_POPULATION","ATTENDING_EARLY_CHILDHOOD","ATTENDING_PRIMARY","ATTENDING_LOWER_SECONDARY","ATTENDING_UPPER_SECONDARY","ATTENDING_OTHER","ATTENDING_LEVEL_NOT_STATED","NOT_ATTENDING_EARLY_CHILDHOOD","NOT_ATTENDING_PRIMARY","NOT_ATTENDING_LOWER_SECONDARY","NOT_ATTENDING_UPPER_SECONDARY","NOT_ATTENDING_OTHER","NOT_ATTENDING_LEVEL_NOT_STATED","NEVER_ATTENDED_SCHOOL","ATTENDANCE_NOT_STATED_EARLY_CHILDHOOD","ATTENDANCE_NOT_STATED_PRIMARY","ATTENDANCE_NOT_STATED_LOWER_SECONDARY","ATTENDANCE_NOT_STATED_UPPER_SECONDARY","ATTENDANCE_NOT_STATED_OTHER","ATTENDANCE_NOT_STATED_LEVEL_NOT_STATED"
"66","DISTRICT","Panchthar","Female","25414","2160","8286","5113","2782","3","31","21","811","2353","3386","13","20","433","0","0","0","0","0","2"
"67","DISTRICT","Ilam","Total","72612","6252","22777","13733","8608","26","102","70","3397","8128","8100","54","49","1315","0","0","0","0","0","1"
"68","DISTRICT","Ilam","Male","37635","3254","11843","7108","4302","13","58","34","2159","4658","3468","29","24","684","0","0","0","0","0","1"
"69","DISTRICT","Ilam","Female","34977","2998","10934","6625","4306","13","44","36","1238","3470","4632","25","25","631","0","0","0","0","0","0"
"70","DISTRICT","Jhapa","Total","273973","30825","95400","53134","26705","153","404","210","14856","22152","21412","235","169","8277","1","1","0","0","0","39"
"71","DISTRICT","Jhapa","Male","138431","16439","49358","27088","13238","115","204","108","7986","11668","8413","83","80","3632","1","0","0","0","0","18"
"72","DISTRICT","Jhapa","Female","135542","14386","46042","26046","13467","38","200","102","6870","10484","12999","152","89","4645","0","1","0","0","0","21"
"73","DISTRICT","Morang","Total","334289","35471","110845","60268","30392","110","267","230","21506","25776","26570","296","176","22299","0","0","0","0","4","79"
"74","DISTRICT","Morang","Male","167438","18917","56900","30792","15303","42","141","126","11257","13416","11002","117","66","9320","0","0","0","0","3","36"
"75","DISTRICT","Morang","Female","166851","16554","53945","29476","15089","68","126","104","10249","12360","15568","179","110","12979","0","0","0","0","1","43"
"76","DISTRICT","Sunsari","Total","285858","29946","93520","48517","24892","210","530","338","20855","21409","21880","314","172","23255","0","1","0","0","2","17"
"77","DISTRICT","Sunsari","Male","142928","16004","48103","24826","12715","134","293","183","10523","10801","9150","145","72","9973","0","0","0","0","0","6"
"78","DISTRICT","Sunsari","Female","142930","13942","45417","23691","12177","76","237","155","10332","10608","12730","169","100","13282","0","1","0","0","2","11"
"79","DISTRICT","Udayapur","Total","113009","9718","37190","21753","11097","27","142","96","7570","11014","9774","76","72","4474","0","0","0","0","0","6"
"80","DISTRICT","Udayapur","Male","56882","5161","19121","10899","5405","9","69","46","4118","5892","4035","29","24","2070","0","0","0","0","0","4"
"81","DISTRICT","Udayapur","Female","56127","4557","18069","10854","5692","18","73","50","3452","5122","5739","47","48","2404","0","0","0","0","0","2"
