"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL_CHILDREN","BOTH_PARENTS","MOTHER_ONLY","FATHER_ONLY","FATHER_STEP_MOTHER","MOTHER_STEP_FATHER","OTHER_RELATIVE","EMPLOYER","OTHER_ARRANGEMENT","NOT_STATED"
"102","District","Makwanpur","Female","71829","61095","6370","1168","390","107","2464","10","180","45"
"103","District","Chitawan","Total","206879","156173","37301","2771","1013","162","7499","146","1698","116"
"104","District","Chitawan","Male","110259","83311","19961","1622","525","72","3645","106","957","60"
"105","District","Chitawan","Female","96620","72862","17340","1149","488","90","3854","40","741","56"
"106","District","Gorkha","Total","72878","50158","17420","1055","424","77","2499","18","1051","176"
"107","District","Gorkha","Male","37233","25709","8899","581","222","26","1181","16","531","68"
"108","District","Gorkha","Female","35645","24449","8521","474","202","51","1318","2","520","108"
"109","District","Manang","Total","1015","784","82","19","6","2","36","4","65","17"
"110","District","Manang","Male","498","378","46","9","3","1","14","2","29","16"
"111","District","Manang","Female","517","406","36","10","3","1","22","2","36","1"
"112","District","Mustang","Total","3946","1888","210","46","30","5","86","13","1609","59"
"113","District","Mustang","Male","1963","943","112","25","16","2","45","7","795","28"
"114","District","Mustang","Female","1983","945","98","21","14","3","41","6","814","31"
"115","District","Myagdi","Total","33546","23269","7503","480","185","43","1664","19","296","87"
"116","District","Myagdi","Male","17278","12022","3889","261","101","15","762","13","175","40"
"117","District","Myagdi","Female","16268","11247","3614","219","84","28","902","6","121","47"
"118","District","Kaski","Total","165643","118040","34772","2058","658","146","7108","105","1818","938"
"119","District","Kaski","Male","88831","63329","18550","1133","345","67","3699","77","1082","549"
"120","District","Kaski","Female","76812","54711","16222","925","313","79","3409","28","736","389"
"121","District","Lamjung","Total","42696","29500","10175","670","236","52","1822","11","103","127"
"122","District","Lamjung","Male","22113","15239","5351","364","128","27","885","8","48","63"
"123","District","Lamjung","Female","20583","14261","4824","306","108","25","937","3","55","64"
"124","District","Tanahu","Total","95865","61553","26809","1269","711","155","4065","71","812","420"
"125","District","Tanahu","Male","49804","32069","13843","682","408","77","1929","55","583","158"
"126","District","Tanahu","Female","46061","29484","12966","587","303","78","2136","16","229","262"
"127","District","Nawalparasi (East)","Total","117094","79904","29050","1457","728","157","4673","69","687","369"
"128","District","Nawalparasi (East)","Male","61646","42196","15360","797","384","70","2167","51","452","169"
"129","District","Nawalparasi (East)","Female","55448","37708","13690","660","344","87","2506","18","235","200"
"130","District","Syangja","Total","71125","44874","22397","806","265","45","2285","17","215","221"
"131","District","Syangja","Male","36992","23341","11706","416","132","19","1092","15","161","110"
"132","District","Syangja","Female","34133","21533","10691","390","133","26","1193","2","54","111"
"133","District","Parbat","Total","39645","26554","10883","430","161","25","1307","10","120","155"
"134","District","Parbat","Male","20826","13952","5786","243","92","9","601","3","63","77"
"135","District","Parbat","Female","18819","12602","5097","187","69","16","706","7","57","78"
"136","District","Baglung","Total","84386","54739","23352","890","468","86","4126","11","472","242"
"137","District","Baglung","Male","43742","28531","12088","482","252","40","2000","6","247","96"
"138","District","Baglung","Female","40644","26208","11264","408","216","46","2126","5","225","146"
"139","District","Rukum (East)","Total","21552","17849","2819","279","93","41","423","5","37","6"
"140","District","Rukum (East)","Male","10876","9075","1419","140","48","13","157","3","20","1"
"141","District","Rukum (East)","Female","10676","8774","1400","139","45","28","266","2","17","5"
"142","District","Rolpa","Total","92202","67143","20679","945","491","112","2565","5","200","62"
"143","District","Rolpa","Male","46704","34093","10561","502","269","40","1118","2","90","29"
"144","District","Rolpa","Female","45498","33050","10118","443","222","72","1447","3","110","33"
"145","District","Pyuthan","Total","91867","56929","30200","831","492","115","2983","20","206","91"
"146","District","Pyuthan","Male","46323","28801","15304","430","232","45","1361","12","106","32"
"147","District","Pyuthan","Female","45544","28128","14896","401","260","70","1622","8","100","59"
"148","District","Gulmi","Total","82611","47993","29141","1022","384","82","3632","19","257","81"
"149","District","Gulmi","Male","42522","24810","15058","557","202","37","1664","11","145","38"
"150","District","Gulmi","Female","40089","23183","14083","465","182","45","1968","8","112","43"
"151","District","Arghakhanchi","Total","60341","36300","20718","652","305","62","2084","14","139","67"
"152","District","Arghakhanchi","Male","31366","19041","10764","387","153","34","892","7","64","24"
"153","District","Arghakhanchi","Female","28975","17259","9954","265","152","28","1192","7","75","43"
"154","District","Palpa","Total","75249","47288","23120","914","360","114","2822","30","539","62"
"155","District","Palpa","Male","38702","24514","11863","505","195","57","1286","20","236","26"
"156","District","Palpa","Female","36547","22774","11257","409","165","57","1536","10","303","36"
