"ID","AREA","TAP_PIPED_WITHIN_PREMISES","TAP_PIPED_OUTSIDE_PREMISES","TUBEWELL_HANDPUMP","COVERED_WELL_KUWA","UNCOVERED_WELL_KUWA","SPOUT_WATER","RIVER_STREAM","JAR_BOTTLE","OTHER_SOURCES"
"1","Nepal","2304015","1490846","1982180","102235","141857","262044","23827","308388","45449"
"2","Urban Municipalities","1647955","779434","1355860","83987","99263","155025","12116","304618","36441"
"3","Rural Municipalities","656060","711412","626320","18248","42594","107019","11711","3770","9008"
"4","Mountain","147511","208655","23","1972","4792","42421","2905","134","847"
"5","Hill","1295566","957847","61243","54202","78691","176591","15317","285146","20427"
"6","Tarai","860938","324344","1920914","46061","58374","43032","5605","23108","24175"
"7","Koshi","407645","239686","476658","9979","19613","26420","2725","4816","3213"
"8","Madhesh","177156","84653","830219","8062","25966","13857","729","2252","13489"
"9","Bagmati","688107","378484","75205","35647","42682","62391","3778","264204","17419"
"10","Gandaki","347261","215468","10776","7808","10298","45567","2475","20234","1745"
"11","Lumbini","431642","224064","373956","29784","26172","29608","4433","15128","6558"
"12","Karnali","130465","162619","1635","7573","9210","48699","4276","480","1080"
"13","Sudur Paschim","121739","185872","213731","3382","7916","35502","5411","1274","1945"
"14","Taplejung","14138","12663","0","37","220","537","75","24","82"
"15","Sankhuwasabha","15073","15736","0","792","906","6182","329","36","64"
"16","Solukhumbu","15233","9660","0","105","208","927","60","10","36"
"17","Okhaldhunga","12212","19143","0","237","604","1692","333","32","33"
"18","Khotang","18625","18442","0","506","1471","2324","178","113","61"
"19","Bhojpur","20370","13895","0","479","901","2784","110","7","34"
"20","Dhankuta","19960","14751","0","391","1060","1252","128","24","50"
"21","Terhathum","13659","6701","0","137","300","994","30","2","22"
"22","Panchthar","18104","21934","22","223","816","1032","213","19","74"
"23","Ilam","31044","29387","4211","554","2528","1893","509","126","249"
"24","Jhapa","76423","21762","139206","2725","2893","1070","84","333","523"
"25","Morang","55617","17467","190524","716","1172","1730","125","3567","1242"
"26","Sunsari","72378","17371","117348","750","1226","2160","224","398","552"
"27","Udayapur","24809","20774","25347","2327","5308","1843","327","125","191"
"28","Saptari","4645","2090","137164","588","1084","207","63","212","763"
"29","Siraha","15059","8262","116759","1535","4074","689","285","378","1508"
"30","Dhanusa","20645","6999","133378","1913","10412","1529","114","542","1559"
"31","Mahottari","27631","14070","87192","1015","2137","2231","47","94","3469"
"32","Sarlahi","29231","13100","111407","1625","5747","1289","85","406","1934"
"33","Rautahat","26285","10463","94793","714","778","1899","87","229","1777"
"34","Bara","30070","16069","79496","456","1006","2622","21","78","1361"
