"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL","EARLY_CHILDHOOD","PRIMARY_LEVEL","LOWER_SECONDARY","UPPER_SECONDARY","SLC_SEE_EQUIVALENT","INTERMEDIATE_EQUIVALENT","GRADUATE_EQUIVALENT","POST_GRADUATE_EQUIVALENT","OTHER","NO_LEVEL","LEVEL_NOT_STATED"
"81","DISTRICT","Udayapur","Female","115629","4734","34282","23812","19922","12288","13427","2856","820","134","2707","647"
"82","DISTRICT","Saptari","Total","433612","22840","127692","86154","77959","43721","46770","18103","6511","84","2559","1219"
"83","DISTRICT","Saptari","Male","246952","12685","67453","48455","45274","26120","27917","12276","5010","34","1141","587"
"84","DISTRICT","Saptari","Female","186660","10155","60239","37699","32685","17601","18853","5827","1501","50","1418","632"
"85","DISTRICT","Siraha","Total","431770","29888","131179","85855","76291","38800","42999","14774","6493","191","3056","2244"
"86","DISTRICT","Siraha","Male","240407","17102","69140","46272","42633","22322","25323","10067","5047","87","1244","1170"
"87","DISTRICT","Siraha","Female","191363","12786","62039","39583","33658","16478","17676","4707","1446","104","1812","1074"
"88","DISTRICT","Dhanusa","Total","504424","34072","152638","104812","87102","41392","51934","20402","8480","207","1855","1530"
"89","DISTRICT","Dhanusa","Male","281217","19302","80074","55141","49477","24237","30529","14054","6584","112","941","766"
"90","DISTRICT","Dhanusa","Female","223207","14770","72564","49671","37625","17155","21405","6348","1896","95","914","764"
"91","DISTRICT","Mahottari","Total","379508","25402","125625","82347","61766","29308","36654","11300","4556","99","1567","884"
"92","DISTRICT","Mahottari","Male","212282","13854","66020","44733","36008","17389","21849","7645","3495","43","762","484"
"93","DISTRICT","Mahottari","Female","167226","11548","59605","37614","25758","11919","14805","3655","1061","56","805","400"
"94","DISTRICT","Sarlahi","Total","465953","28489","158079","100955","72026","33025","50472","13258","5839","137","1912","1761"
"95","DISTRICT","Sarlahi","Male","264773","15817","85712","57667","42156","19349","29081","8662","4308","83","961","977"
"96","DISTRICT","Sarlahi","Female","201180","12672","72367","43288","29870","13676","21391","4596","1531","54","951","784"
"97","DISTRICT","Rautahat","Total","415495","28479","154268","87098","58903","26388","36602","10406","4156","181","6759","2255"
"98","DISTRICT","Rautahat","Male","237538","15182","82596","50598","35725","16259","22476","7145","3202","93","3064","1198"
"99","DISTRICT","Rautahat","Female","177957","13297","71672","36500","23178","10129","14126","3261","954","88","3695","1057"
"100","DISTRICT","Bara","Total","443259","27026","157070","101013","70325","28954","38516","10979","4958","144","2235","2039"
"101","DISTRICT","Bara","Male","255575","14565","86220","59157","42276","17490","22900","7154","3619","87","1056","1051"
"102","DISTRICT","Bara","Female","187684","12461","70850","41856","28049","11464","15616","3825","1339","57","1179","988"
"103","DISTRICT","Parsa","Total","411119","24479","142088","94282","63816","23691","35833","16183","7672","68","1817","1190"
"104","DISTRICT","Parsa","Male","238246","13312","77109","55262","38655","14114","21568","10986","5700","34","860","646"
"105","DISTRICT","Parsa","Female","172873","11167","64979","39020","25161","9577","14265","5197","1972","34","957","544"
"106","DISTRICT","Dolakha","Total","116511","4215","36711","23613","16251","10384","14398","3480","1843","74","4516","1026"
"107","DISTRICT","Dolakha","Male","62834","2232","20201","13256","8960","5777","7245","1862","1196","23","1603","479"
"108","DISTRICT","Dolakha","Female","53677","1983","16510","10357","7291","4607","7153","1618","647","51","2913","547"
"109","DISTRICT","Sindhupalchok","Total","165278","6387","56665","33817","22448","11858","18496","4256","2277","399","7012","1663"
"110","DISTRICT","Sindhupalchok","Male","89429","3331","31735","19013","12421","6597","9140","2132","1432","171","2659","798"
"111","DISTRICT","Sindhupalchok","Female","75849","3056","24930","14804","10027","5261","9356","2124","845","228","4353","865"
"112","DISTRICT","Rasuwa","Total","29699","1223","9290","6107","4227","2320","3966","1054","357","9","963","183"
"113","DISTRICT","Rasuwa","Male","16761","642","5223","3520","2378","1392","2153","587","232","9","525","100"
"114","DISTRICT","Rasuwa","Female","12938","581","4067","2587","1849","928","1813","467","125","0","438","83"
"115","DISTRICT","Dhading","Total","216980","8559","72970","45896","28885","17117","26903","5681","2982","394","6237","1356"
"116","DISTRICT","Dhading","Male","115562","4596","40251","24959","15569","9353","12901","2831","1778","123","2515","686"
"117","DISTRICT","Dhading","Female","101418","3963","32719","20937","13316","7764","14002","2850","1204","271","3722","670"
"118","DISTRICT","Nuwakot","Total","168986","6427","54247","34868","25166","13980","20319","4847","2393","60","4991","1688"
"119","DISTRICT","Nuwakot","Male","91580","3442","29946","19432","13706","7994","10115","2386","1460","41","2192","866"
"120","DISTRICT","Nuwakot","Female","77406","2985","24301","15436","11460","5986","10204","2461","933","19","2799","822"
"121","DISTRICT","Kathmandu","Total","1709185","48867","283862","221676","166196","242998","365436","228019","120336","3400","21776","6619"
