"ID","AREA","MUD","WOODEN_PLANK_BAMBOO","BRICKS_STONE","CERAMIC_TILE","CEMENTED","OTHER"
"1","Nepal","3074510","135503","91236","180603","3151140","27849"
"2","Urban Municipalities","1587381","79861","66153","165627","2555806","19871"
"3","Rural Municipalities","1487129","55642","25083","14976","595334","7978"
"4","Mountain","276448","19835","2961","1477","106465","2074"
"5","Hill","1352607","58925","28814","94028","1396513","14143"
"6","Tarai","1445455","56743","59461","85098","1648162","11632"
"7","Koshi","574791","33192","16147","23644","538298","4683"
"8","Madhesh","675219","19206","27984","20132","410430","3412"
"9","Bagmati","318001","27297","20218","71734","1122443","8224"
"10","Gandaki","241578","12717","5334","28028","370199","3776"
"11","Lumbini","590739","22839","12296","28360","482982","4129"
"12","Karnali","296437","11172","2031","2404","52546","1447"
"13","Sudur Paschim","377745","9080","7226","6301","174242","2178"
"14","Taplejung","23162","1098","256","73","3092","95"
"15","Sankhuwasabha","31500","1879","258","198","5100","183"
"16","Solukhumbu","19741","2972","216","66","3125","119"
"17","Okhaldhunga","28554","1049","155","97","4323","108"
"18","Khotang","37258","921","425","190","2748","178"
"19","Bhojpur","35184","568","393","145","2209","81"
"20","Dhankuta","26957","565","268","149","9526","151"
"21","Tehrathum","19315","287","133","60","1975","75"
"22","Panchthar","35273","1285","205","168","5330","176"
"23","Ilam","44791","5180","338","404","19413","375"
"24","Jhapa","53275","7843","3053","9178","170538","1132"
"25","Morang","99026","4998","5083","6988","155111","954"
"26","Sunsari","77442","3118","4076","5120","121882","769"
"27","Udayapur","43313","1429","1288","808","33926","287"
"28","Saptari","92474","1914","2950","1632","47408","438"
"29","Siraha","89125","2236","3199","2036","51457","496"
"30","Dhanusha","89550","2692","3856","3332","77225","436"
"31","Mahottari","84524","2201","2734","2087","45929","411"
"32","Sarlahi","107277","2667","3671","2579","48096","534"
"33","Rautahat","91822","2655","4012","2571","35593","372"
"34","Bara","66458","2794","4695","2494","54323","415"
"35","Parsa","53989","2047","2867","3401","50399","310"
"36","Dolakha","17827","986","526","142","29714","298"
"37","Sindhupalchok","23197","2034","648","352","44851","615"
"38","Rasuwa","3476","1253","114","50","6179","59"
"39","Dhading","26018","2253","1004","552","53254","541"
"40","Nuwakot","22134","1174","818","456","43698","366"
"41","Kathmandu","25111","4399","8969","41562","460978","1873"
"42","Bhaktapur","13018","3248","1284","6585","83397","874"
"43","Lalitpur","19147","3132","2522","9979","104216","1134"
"44","Kavrepalanchok","41315","2160","408","1296","45476","675"
"45","Ramechhap","29963","1126","228","204","14703","242"
"46","Sindhuli","36727","1067","349","752","30164","258"
"47","Makwanpur","37143","2235","960","1324","63549","409"
"48","Chitawan","22925","2230","2388","8480","142264","880"
"49","Gorkha","20679","2792","470","416","46755","617"
"50","Manang","135","1214","8","2","179","9"
"51","Mustang","1920","1115","15","12","518","26"
"52","Myagdi","20371","745","138","241","7126","145"
"53","Kaski","19667","1887","1898","18847","116927","1190"
"54","Lamjung","19500","655","290","901","22514","214"
"55","Tanahu","30713","935","647","2745","53016","457"
"56","Nawalparasi (East)","19483","808","965","3196","69024","374"
"57","Syangja","38368","1108","376","627","28130","314"
"58","Parbat","23275","468","209","327","11643","190"
"59","Baglung","47467","990","318","714","14367","240"
"60","Rukum (East)","11822","400","55","33","521","47"
"61","Rolpa","46325","1693","317","85","3617","169"
"62","Pyuthan","47873","1306","223","240","6400","153"
"63","Gulmi","51792","1574","222","241","11946","325"
"64","Arghakhanchi","39882","770","180","545","6951","121"
"65","Palpa","40580","2772","289","525","20473","352"
"66","Nawalparasi (West)","29126","1497","944","1365","49497","280"
"67","Rupandehi","54476","3272","2312","17455","159748","908"
"68","Kapilbastu","59988","2652","1955","1374","55498","394"
"69","Dang","84996","2950","1456","2453","69895","516"
"70","Banke","56811","2443","2382","3005","63936","657"
"71","Bardiya","67068","1510","1961","1039","34500","207"
"72","Dolpa","8309","792","37","18","162","62"
"73","Mugu","10181","1774","38","31","300","106"
"74","Humla","10202","876","52","15","34","25"
"75","Jumla","21421","1577","78","65","1205","76"
"76","Kalikot","24885","505","109","40","1116","115"
"77","Dailekh","48650","1265","330","197","3841","311"
"78","Jajarkot","34341","805","205","74","1906","122"
"79","Rukum (West)","33261","746","185","95","2910","93"
"80","Salyan","48697","916","230","130","4533","166"
"81","Surkhet","56490","1916","767","1739","36539","371"
"82","Bajura","25538","614","168","82","1565","74"
"83","Bajhang","33452","589","190","113","3598","83"
"84","Darchula","21502","557","248","218","5727","129"
"85","Baitadi","43364","864","916","188","3887","188"
"86","Dadeldhura","23813","574","230","124","6308","123"
"87","Doti","38764","860","338","139","4777","262"
"88","Achham","45692","806","234","124","2541","170"
"89","Kailali","99844","2648","3344","3621","85568","847"
"90","Kanchanpur","45776","1568","1558","1692","60271","302"
