"ID","AREA","MUD_BONDED_BRICKS_STONE","CEMENT_BONDED_BRICKS_STONE","REINFORCED_CEMENT_CONCRETE_WITH_PILLARS","WOODEN_PILLARS","OTHER"
"1","Nepal","2200886","1984029","1492693","944148","39085"
"2","Urban Municipalities","1026199","1515875","1294847","611844","25934"
"3","Rural Municipalities","1174687","468154","197846","332304","13151"
"4","Mountain","303058","70174","23531","11323","1174"
"5","Hill","1399191","715434","694458","124734","11213"
"6","Tarai","498637","1198421","774704","808091","26698"
"7","Koshi","382055","299268","249893","250357","9182"
"8","Madhesh","128355","376846","203656","441378","6148"
"9","Bagmati","343817","572132","576941","65572","9455"
"10","Gandaki","289780","210489","150825","9398","1140"
"11","Lumbini","468190","347610","243390","73445","8750"
"12","Karnali","304096","29386","23051","9123","381"
"13","Sudur Paschim","284593","148298","44937","94915","4029"
"14","Taplejung","24684","1690","416","937","49"
"15","Sankhuwasabha","30614","1616","1096","5528","264"
"16","Solukhumbu","23757","1462","256","674","90"
"17","Okhaldhunga","31238","1821","642","494","91"
"18","Khotang","38336","1449","422","1413","100"
"19","Bhojpur","35606","917","247","1719","91"
"20","Dhankuta","27230","4459","2259","3467","201"
"21","Tehrathum","19748","827","550","687","33"
"22","Panchthar","35617","2843","1720","2165","92"
"23","Ilam","37543","11569","6284","14728","377"
"24","Jhapa","11148","89634","90142","52622","1473"
"25","Morang","23986","90915","72486","82152","2621"
"26","Sunsari","19401","69607","63611","56400","3388"
"27","Udayapur","23147","20459","9762","27371","312"
"28","Saptari","17488","40690","24999","62729","910"
"29","Siraha","14572","49593","26688","56731","965"
"30","Dhanusha","16258","59041","40692","60179","921"
"31","Mahottari","11488","43246","23354","59282","516"
"32","Sarlahi","19632","54168","23251","66565","1208"
"33","Rautahat","22963","44250","17000","52184","628"
"34","Bara","18600","47950","22899","41175","555"
"35","Parsa","7354","37908","24773","42533","445"
"36","Dolakha","25673","17393","5294","962","171"
"37","Sindhupalchok","28851","30170","10814","1506","356"
"38","Rasuwa","4442","4444","1777","421","47"
"39","Dhading","35163","33943","12696","1551","269"
"40","Nuwakot","26075","30103","11389","828","251"
"41","Kathmandu","26643","207894","293725","11274","3356"
"42","Bhaktapur","10518","23992","69351","3207","1338"
"43","Lalitpur","17466","49616","66645","5135","1268"
"44","Kavrepalanchok","41830","25584","21461","1779","676"
"45","Ramechhap","36365","7352","2259","413","77"
"46","Sindhuli","24898","16506","7863","19768","282"
"47","Makwanpur","38556","42167","13997","10208","692"
"48","Chitawan","27337","82968","59670","8520","672"
"49","Gorkha","30527","29446","10655","977","124"
"50","Manang","1265","129","18","127","8"
"51","Mustang","3125","343","109","21","8"
"52","Myagdi","23065","2753","2814","101","33"
"53","Kaski","27570","68125","64012","370","339"
"54","Lamjung","24309","11900","7266","525","74"
"55","Tanahu","38184","26419","22785","991","134"
"56","Nawalparasi (East)","18173","46669","23245","5447","316"
"57","Syangja","44360","14417","9814","308","24"
"58","Parbat","26809","4502","4571","181","49"
"59","Baglung","52393","5786","5536","350","31"
"60","Rukum (East)","12308","307","145","60","58"
"61","Rolpa","48716","2326","657","435","72"
"62","Pyuthan","49051","3990","2564","557","33"
"63","Gulmi","55438","6164","3992","466","40"
"64","Arghakhanchi","40921","3870","2715","908","35"
"65","Palpa","43234","11645","9205","840","67"
"66","Nawalparasi (West)","8492","35065","26807","11826","519"
"67","Rupandehi","24953","107251","99098","5701","1168"
"68","Kapilbastu","33637","56216","21048","9687","1273"
"69","Dang","82118","36833","34434","8617","264"
"70","Banke","35969","50311","29702","9676","3576"
"71","Bardiya","33353","33632","13023","24632","1645"
"72","Dolpa","9063","225","8","76","8"
"73","Mugu","11662","422","146","185","15"
"74","Humla","11100","69","14","18","3"
"75","Jumla","22828","970","494","111","19"
"76","Kalikot","25455","907","333","54","21"
"77","Dailekh","50938","2026","1474","144","12"
"78","Jajarkot","35818","969","505","133","28"
"79","Rukum (West)","33886","1939","1380","59","26"
"80","Salyan","49617","2816","2006","211","22"
"81","Surkhet","53729","19043","16691","8132","227"
"82","Bajura","26069","1183","355","355","79"
"83","Bajhang","33145","3793","750","315","22"
"84","Darchula","21325","5358","1651","33","14"
"85","Baitadi","43078","5555","714","51","9"
"86","Dadeldhura","22746","4701","2040","1596","89"
"87","Doti","39703","3854","636","831","116"
"88","Achham","46812","1380","1009","301","65"
"89","Kailali","36542","68084","26186","62024","3036"
"90","Kanchanpur","15173","54390","11596","29409","599"
