"ID","AREA_TYPE","AREA_NAME","SEX","TOTAL_POPULATION","WORKED_6_MONTHS_PLUS","WORKED_3_TO_5_MONTHS","WORKED_LESS_THAN_3_MONTHS","NO_ECONOMIC_WORK"
"125","District","Bhaktapur","Male","186824","107360","8523","9626","61315"
"126","District","Bhaktapur","Female","187121","65885","15427","17122","88687"
"127","District","Lalitpur","Total","485174","215582","27923","33339","208330"
"128","District","Lalitpur","Male","241645","133870","10309","12403","85063"
"129","District","Lalitpur","Female","243529","81712","17614","20936","123267"
"130","District","Kavrepalanchok","Total","312161","169951","29285","24120","88805"
"131","District","Kavrepalanchok","Male","151597","91066","12179","10194","38158"
"132","District","Kavrepalanchok","Female","160564","78885","17106","13926","50647"
"133","District","Ramechhap","Total","146429","65703","23142","14954","42630"
"134","District","Ramechhap","Male","68697","33908","9852","6234","18703"
"135","District","Ramechhap","Female","77732","31795","13290","8720","23927"
"136","District","Sindhuli","Total","248529","124945","36056","33451","54077"
"137","District","Sindhuli","Male","120753","67817","14743","14568","23625"
"138","District","Sindhuli","Female","127776","57128","21313","18883","30452"
"139","District","Makwanpur","Total","389276","182488","45097","32905","128786"
"140","District","Makwanpur","Male","194011","107668","18934","13428","53981"
"141","District","Makwanpur","Female","195265","74820","26163","19477","74805"
"142","District","Chitawan","Total","611871","272124","54061","51404","234282"
"143","District","Chitawan","Male","293680","159485","19871","19411","94913"
"144","District","Chitawan","Female","318191","112639","34190","31993","139369"
"145","District","Gorkha","Total","214599","101946","24357","17600","70696"
"146","District","Gorkha","Male","99270","51731","9624","7156","30759"
"147","District","Gorkha","Female","115329","50215","14733","10444","39937"
"148","District","Manang","Total","5087","3393","566","346","782"
"149","District","Manang","Male","2914","2138","282","157","337"
"150","District","Manang","Female","2173","1255","284","189","445"
"151","District","Mustang","Total","12597","7905","680","904","3108"
"152","District","Mustang","Male","6988","4671","325","419","1573"
"153","District","Mustang","Female","5609","3234","355","485","1535"
"154","District","Myagdi","Total","89641","44076","11509","10049","24007"
"155","District","Myagdi","Male","43057","22666","5063","4580","10748"
"156","District","Myagdi","Female","46584","21410","6446","5469","13259"
"157","District","Kaski","Total","516783","199343","40295","44101","233044"
"158","District","Kaski","Male","247569","118614","15310","16741","96904"
"159","District","Kaski","Female","269214","80729","24985","27360","136140"
"160","District","Lamjung","Total","134916","53285","18506","14456","48669"
"161","District","Lamjung","Male","62993","28274","7785","5896","21038"
"162","District","Lamjung","Female","71923","25011","10721","8560","27631"
"163","District","Tanahu","Total","272843","129433","28488","22917","92005"
"164","District","Tanahu","Male","124480","65723","10860","8967","38930"
"165","District","Tanahu","Female","148363","63710","17628","13950","53075"
"166","District","Nawalparasi (East)","Total","316761","138425","30954","29506","117876"
"167","District","Nawalparasi (East)","Male","145111","74308","11286","11177","48340"
"168","District","Nawalparasi (East)","Female","171650","64117","19668","18329","69536"
"169","District","Syangja","Total","216789","89414","27994","26908","72473"
"170","District","Syangja","Male","97406","43706","11132","10961","31607"
"171","District","Syangja","Female","119383","45708","16862","15947","40866"
"172","District","Parbat","Total","110437","42860","16185","12140","39252"
