"ID","AREA_TYPE","AREA_NAME","SEX","TOTAL_WORKERS","ARMED_FORCES","MANAGERS","PROFESSIONALS","TECHNICIANS","OFFICE_ASSISTANCE","SERVICE_SALE_WORKERS","AGRICULTURE_FORESTRY_FISHERY","CRAFT_TRADE_WORKERS","PLANT_MACHINE_OPERATORS","ELEMENTARY_WORKERS","NOT_STATED"
"83","District","Saptari","Male","178350","1046","5566","8480","2691","1361","10916","76542","16036","5804","49747","161"
"84","District","Saptari","Female","145416","63","1652","2636","1028","429","3109","76341","1947","219","57912","80"
"85","District","Siraha","Total","325662","389","9298","9293","3095","1915","13672","161048","13040","6472","107135","305"
"86","District","Siraha","Male","171101","362","7095","6873","2263","1480","9817","79683","10802","6214","46350","162"
"87","District","Siraha","Female","154561","27","2203","2420","832","435","3855","81365","2238","258","60785","143"
"88","District","Dhanusa","Total","363926","1539","12956","12469","4857","2693","20238","159232","17200","9040","123490","212"
"89","District","Dhanusa","Male","202486","1448","10280","9114","3851","2093","15473","83439","14383","8687","53564","154"
"90","District","Dhanusa","Female","161440","91","2676","3355","1006","600","4765","75793","2817","353","69926","58"
"91","District","Mahottari","Total","265016","387","7535","7782","2761","1970","13183","98481","14603","6330","111792","192"
"92","District","Mahottari","Male","158595","367","5979","5770","2207","1530","10436","63113","12797","6142","50102","152"
"93","District","Mahottari","Female","106421","20","1556","2012","554","440","2747","35368","1806","188","61690","40"
"94","District","Sarlahi","Total","339582","747","8627","9262","3107","2322","16649","129509","21354","8455","139258","292"
"95","District","Sarlahi","Male","210646","701","6758","6652","2399","1790","13284","85600","19005","8200","66033","224"
"96","District","Sarlahi","Female","128936","46","1869","2610","708","532","3365","43909","2349","255","73225","68"
"97","District","Rautahat","Total","340818","439","8762","8948","3208","1948","15803","142434","29261","8019","121722","274"
"98","District","Rautahat","Male","203338","414","7098","6649","2446","1530","12805","83411","25524","7734","55531","196"
"99","District","Rautahat","Female","137480","25","1664","2299","762","418","2998","59023","3737","285","66191","78"
"100","District","Bara","Total","319842","1205","8947","7604","4303","3109","16393","122820","33685","13822","107713","241"
"101","District","Bara","Male","200399","1139","7148","5331","3435","2405","13448","75300","31061","13322","47632","178"
"102","District","Bara","Female","119443","66","1799","2273","868","704","2945","47520","2624","500","60081","63"
"103","District","Parsa","Total","271834","1069","11165","9353","5845","3203","17174","82438","32184","11936","97237","230"
"104","District","Parsa","Male","177843","1025","9809","6752","4828","2573","15108","51395","30155","11607","44412","179"
"105","District","Parsa","Female","93991","44","1356","2601","1017","630","2066","31043","2029","329","52825","51"
"106","District","Dolakha","Total","110854","836","3589","3539","1403","742","4491","79723","3768","2015","10717","31"
"107","District","Dolakha","Male","54194","772","2319","2011","765","379","2577","35044","3208","1934","5164","21"
"108","District","Dolakha","Female","56660","64","1270","1528","638","363","1914","44679","560","81","5553","10"
"109","District","Sindhupalchok","Total","160833","606","5223","4497","1429","908","5511","114348","6000","3672","18603","36"
"110","District","Sindhupalchok","Male","80883","549","3322","2482","883","517","3309","52557","4783","3513","8941","27"
"111","District","Sindhupalchok","Female","79950","57","1901","2015","546","391","2202","61791","1217","159","9662","9"
"112","District","Rasuwa","Total","27479","664","1621","806","362","315","1233","16935","1354","607","3580","2"
"113","District","Rasuwa","Male","14762","627","986","460","244","183","863","7799","1167","586","1845","2"
"114","District","Rasuwa","Female","12717","37","635","346","118","132","370","9136","187","21","1735","0"
"115","District","Dhading","Total","193246","1266","7817","5362","1795","1322","7500","129886","7145","6786","24318","49"
"116","District","Dhading","Male","96400","1177","4872","2809","1070","694","4168","58478","5607","6547","10950","28"
"117","District","Dhading","Female","96846","89","2945","2553","725","628","3332","71408","1538","239","13368","21"
"118","District","Nuwakot","Total","158304","2066","5904","4522","1358","1176","5556","107238","6326","3656","20463","39"
"119","District","Nuwakot","Male","80088","1863","3843","2390","804","647","3365","49035","5321","3514","9279","27"
"120","District","Nuwakot","Female","78216","203","2061","2132","554","529","2191","58203","1005","142","11184","12"
"121","District","Kathmandu","Total","935507","21808","114636","88403","60397","51658","162295","37229","63607","32660","302610","204"
"122","District","Kathmandu","Male","549078","18958","80073","55541","40257","27732","106226","18165","45530","29397","127084","115"
"123","District","Kathmandu","Female","386429","2850","34563","32862","20140","23926","56069","19064","18077","3263","175526","89"
"124","District","Bhaktapur","Total","223943","5187","29077","19690","14339","8630","23902","34484","27173","10603","50724","134"
"125","District","Bhaktapur","Male","125509","4685","20508","11078","8623","4151","13944","14544","18473","10060","19370","73"
"126","District","Bhaktapur","Female","98434","502","8569","8612","5716","4479","9958","19940","8700","543","31354","61"
"127","District","Lalitpur","Total","276844","3364","33940","26796","17461","12832","32659","34382","33102","12340","69770","198"
"128","District","Lalitpur","Male","156582","2843","23401","15194","10590","6406","19832","15773","23621","11526","27291","105"
"129","District","Lalitpur","Female","120262","521","10539","11602","6871","6426","12827","18609","9481","814","42479","93"
"130","District","Kavrepalanchok","Total","223356","3585","11344","7869","3897","2861","12327","136483","10470","6232","28228","60"
"131","District","Kavrepalanchok","Male","113439","3378","7747","4249","2340","1428","7269","60712","8115","6007","12160","34"
"132","District","Kavrepalanchok","Female","109917","207","3597","3620","1557","1433","5058","75771","2355","225","16068","26"
"133","District","Ramechhap","Total","103799","810","2798","2968","867","580","3259","75138","3638","1571","12149","21"
"134","District","Ramechhap","Male","49994","764","1777","1652","474","327","1927","32903","3113","1499","5546","12"
"135","District","Ramechhap","Female","53805","46","1021","1316","393","253","1332","42235","525","72","6603","9"
"136","District","Sindhuli","Total","194452","865","5410","4661","1564","962","6508","142002","7213","3698","21499","70"
"137","District","Sindhuli","Male","97128","792","3357","2665","906","530","3810","64923","5878","3534","10698","35"
"138","District","Sindhuli","Female","97324","73","2053","1996","658","432","2698","77079","1335","164","10801","35"
"139","District","Makwanpur","Total","260490","3581","13932","7496","5144","3215","13302","140034","15004","15070","43607","105"
"140","District","Makwanpur","Male","140030","3340","8960","3993","3458","1806","8000","64265","11904","14442","19786","76"
"141","District","Makwanpur","Female","120460","241","4972","3503","1686","1409","5302","75769","3100","628","23821","29"
"142","District","Chitawan","Total","377589","2333","34172","15599","10086","5750","28803","149544","26795","16190","88044","273"
"143","District","Chitawan","Male","198767","2178","22573","8798","6028","2921","16855","65010","21723","15353","37148","180"
"144","District","Chitawan","Female","178822","155","11599","6801","4058","2829","11948","84534","5072","837","50896","93"
"145","District","Gorkha","Total","143903","684","5445","4595","1445","1079","5987","97059","3890","2336","21047","336"
"146","District","Gorkha","Male","68511","631","3219","2496","802","560","3314","42865","3177","2227","9062","158"
"147","District","Gorkha","Female","75392","53","2226","2099","643","519","2673","54194","713","109","11985","178"
"148","District","Manang","Total","4305","224","599","230","200","142","500","1544","216","52","594","4"
"149","District","Manang","Male","2577","224","356","139","128","88","399","677","204","48","313","1"
"150","District","Manang","Female","1728","0","243","91","72","54","101","867","12","4","281","3"
"151","District","Mustang","Total","9489","610","934","512","275","207","685","4328","287","166","1447","38"
"152","District","Mustang","Male","5415","589","560","325","174","106","472","2037","251","163","716","22"
"153","District","Mustang","Female","4074","21","374","187","101","101","213","2291","36","3","731","16"
"154","District","Myagdi","Total","65634","215","3174","2323","974","715","2235","44185","2237","1045","8426","105"
"155","District","Myagdi","Male","32309","210","1857","1206","596","417","1118","19886","1982","989","3987","61"
"156","District","Myagdi","Female","33325","5","1317","1117","378","298","1117","24299","255","56","4439","44"
"157","District","Kaski","Total","283739","2588","36556","17379","9433","6867","27624","68283","23359","11995","78620","1035"
"158","District","Kaski","Male","150665","2374","22960","9367","5561","3139","16081","29609","18380","11437","31248","509"
"159","District","Kaski","Female","133074","214","13596","8012","3872","3728","11543","38674","4979","558","47372","526"
"160","District","Lamjung","Total","86247","970","3776","3502","1060","892","4248","52139","2981","1594","14920","165"
"161","District","Lamjung","Male","41955","914","2255","1750","592","463","2205","23394","2505","1495","6302","80"
"162","District","Lamjung","Female","44292","56","1521","1752","468","429","2043","28745","476","99","8618","85"
"163","District","Tanahu","Total","180838","1707","11535","6577","2478","1781","9828","101870","9370","5364","29892","436"
"164","District","Tanahu","Male","85550","1558","6846","3105","1365","843","4890","41541","7484","5111","12589","218"
"165","District","Tanahu","Female","95288","149","4689","3472","1113","938","4938","60329","1886","253","17303","218"
"166","District","Nawalparasi (East)","Total","198885","840","15569","7198","3552","2570","11781","93593","12932","8063","42379","408"
"167","District","Nawalparasi (East)","Male","96771","764","9712","3662","2138","1212","6372","36416","9882","7684","18726","203"
"168","District","Nawalparasi (East)","Female","102114","76","5857","3536","1414","1358","5409","57177","3050","379","23653","205"
"169","District","Syangja","Total","144316","389","5987","5742","1361","1341","6139","93343","5283","3266","21123","342"
"170","District","Syangja","Male","65799","374","3567","2943","763","641","3307","37661","4366","3109","8904","164"
"171","District","Syangja","Female","78517","15","2420","2799","598","700","2832","55682","917","157","12219","178"
"172","District","Parbat","Total","71185","411","3530","3395","885","720","2655","42540","2805","1655","12477","112"
"173","District","Parbat","Male","33533","387","2042","1887","519","357","1342","17764","2325","1588","5258","64"
"174","District","Parbat","Female","37652","24","1488","1508","366","363","1313","24776","480","67","7219","48"
"175","District","Baglung","Total","131653","959","5720","5481","1587","1215","4460","82591","4790","2075","22538","237"
"176","District","Baglung","Male","60672","894","3509","2642","818","594","2423","33982","4084","1987","9627","112"
"177","District","Baglung","Female","70981","65","2211","2839","769","621","2037","48609","706","88","12911","125"
"178","District","Rukum (East)","Total","34591","39","838","824","243","207","623","27601","571","141","3119","385"
"179","District","Rukum (East)","Male","16788","32","509","488","140","118","367","12908","470","135","1465","156"
"180","District","Rukum (East)","Female","17803","7","329","336","103","89","256","14693","101","6","1654","229"
"181","District","Rolpa","Total","122620","727","2564","2925","963","624","3067","86595","3529","1133","20290","203"
"182","District","Rolpa","Male","57453","681","1520","1651","503","368","1822","37659","2595","1048","9497","109"
"183","District","Rolpa","Female","65167","46","1044","1274","460","256","1245","48936","934","85","10793","94"
"184","District","Pyuthan","Total","117610","906","3742","3522","971","784","3808","77706","4243","1604","20235","89"
"185","District","Pyuthan","Male","51114","856","2267","1902","568","477","2270","29133","3486","1526","8586","43"
"186","District","Pyuthan","Female","66496","50","1475","1620","403","307","1538","48573","757","78","11649","46"
"187","District","Gulmi","Total","152504","240","5730","5173","1297","979","3898","109930","5081","1824","18276","76"
"188","District","Gulmi","Male","66890","220","3611","2689","710","543","2226","42821","4311","1734","7978","47"
