"ID","AREA","GALVANIZED_SHEET","REINFORCED_CEMENT_CONCRETE","THATCH_STRAW","TILE","STONE_SLATE","WOOD_PLANKS","MUD","OTHER"
"1","Nepal","2793342","2515093","260006","613912","405771","18190","47642","6885"
"2","Urban Municipalities","1605919","2108634","125055","450173","160303","10081","10659","3875"
"3","Rural Municipalities","1187423","406459","134951","163739","245468","8109","36983","3010"
"4","Mountain","222392","50295","19182","1635","68460","4898","41529","869"
"5","Hill","1346496","1111749","95869","54695","322991","5041","6113","2076"
"6","Tarai","1224454","1353049","144955","557582","14320","8251","0","3940"
"7","Koshi","830756","264067","66781","18328","6505","2789","0","1529"
"8","Madhesh","222340","407166","82999","432111","4805","4867","0","2095"
"9","Bagmati","606924","902451","9964","32611","12927","2044","0","996"
"10","Gandaki","349579","225858","7019","2493","72436","988","3013","246"
"11","Lumbini","459084","518436","49646","55238","53976","2520","1452","993"
"12","Karnali","161989","43757","23683","6144","86178","3687","40229","370"
"13","Sudur Paschim","162670","153358","19914","66987","168944","1295","2948","656"
"14","Taplejung","23100","1016","3294","100","42","119","0","105"
"15","Sankhuwasabha","28347","1653","8253","313","38","223","0","291"
"16","Solukhumbu","23002","427","1134","71","931","541","0","133"
"17","Okhaldhunga","28252","1212","2298","66","2355","67","0","36"
"18","Khotang","28472","1027","10305","1529","184","73","0","130"
"19","Bhojpur","27144","642","9971","629","36","89","0","69"
"20","Dhankuta","30408","3538","3445","75","43","54","0","53"
"21","Terhathum","17788","803","3069","124","14","15","0","32"
"22","Panchthar","35414","2397","4230","125","38","108","0","125"
"23","Ilam","63658","5511","567","147","244","263","0","111"
"24","Jhapa","161251","80580","1477","545","661","411","0","94"
"25","Morang","184213","78201","6202","2454","579","360","0","151"
"26","Sunsari","131487","74863","3332","1270","964","363","0","128"
"27","Udayapur","48220","12197","9204","10880","376","103","0","71"
"28","Saptari","89989","39768","9525","6258","426","388","0","462"
"29","Siraha","56494","51683","12315","26703","400","562","0","392"
"30","Dhanusha","21619","78832","6441","68587","599","718","0","295"
"31","Mahottari","7577","46616","6685","75202","450","1192","0","164"
"32","Sarlahi","10103","42571","13077","97677","427","655","0","314"
"33","Rautahat","10168","42585","13233","69516","757","536","0","230"
"34","Bara","15389","52535","11289","50476","905","448","0","137"
"35","Parsa","11001","52576","10434","37692","841","368","0","101"
"36","Dolakha","40731","8089","60","60","480","54","0","19"
"37","Sindhupalchok","49867","20979","145","59","526","76","0","45"
"38","Rasuwa","8111","2805","30","16","38","121","0","10"
"39","Dhading","56884","23092","271","76","3171","74","0","54"
"40","Nuwakot","48979","18806","93","72","657","28","0","11"
"41","Kathmandu","67537","471125","613","1391","1093","759","0","374"
"42","Bhaktapur","19291","87201","248","886","510","157","0","113"
"43","Lalitpur","28938","109113","348","626","737","267","0","101"
"44","Kavrepalanchok","52159","37058","230","1277","502","66","0","38"
"45","Ramechhap","38317","4407","399","1313","1946","62","0","22"
"46","Sindhuli","32818","11931","2124","21482","855","59","0","48"
"47","Makwanpur","67511","30780","2520","3753","883","129","0","44"
"48","Chitawan","95781","77065","2883","1600","1529","192","0","117"
"49","Gorkha","51135","17909","228","128","2069","233","0","27"
"50","Manang","924","68","4","1","28","55","460","7"
"51","Mustang","616","307","7","2","59","50","2553","12"
"52","Myagdi","7463","3711","324","80","17161","18","0","9"
"53","Kaski","64191","90926","520","340","4271","107","0","61"
"54","Lamjung","31065","11567","225","79","1098","25","0","15"
"55","Tanahu","48138","32703","1508","150","5939","46","0","29"
"56","Nawalparasi (East)","56733","34004","1236","1323","404","98","0","52"
"57","Syangja","46616","19836","1076","92","1212","83","0","8"
"58","Parbat","22898","6009","309","43","6840","6","0","7"
"59","Baglung","19800","8818","1582","255","33355","267","0","19"
"60","Rukum (East)","5804","410","363","24","4676","139","1452","10"
"61","Rolpa","24216","2561","5801","80","18601","911","0","36"
"62","Pyuthan","40103","5512","2083","655","7800","27","0","15"
"63","Gulmi","42894","8055","948","228","13900","61","0","14"
"64","Arghakhanchi","36043","5538","1802","154","4878","19","0","15"
"65","Palpa","46328","17394","731","66","439","21","0","12"
"66","Nawalparasi (West)","23461","48524","1899","8039","392","258","0","136"
"67","Rupandehi","40808","186516","4787","4747","854","233","0","226"
"68","Kapilbastu","17717","91113","9049","2673","682","409","0","218"
"69","Dang","86926","59134","11340","3809","954","66","0","37"
"70","Banke","39845","69259","6502","12683","417","322","0","206"
"71","Bardiya","54939","24420","4341","22080","383","54","0","68"
"72","Dolpa","2564","74","50","10","23","501","6090","68"
"73","Mugu","4393","378","187","20","236","1078","6128","10"
"74","Humla","2371","59","115","9","1","321","8324","4"
"75","Jumla","9747","811","16","28","55","539","13212","14"
"76","Kalikot","11035","1074","1911","59","8730","935","2975","51"
"77","Dailekh","22661","3384","2521","604","22968","121","2296","39"
"78","Jajarkot","6422","1191","1935","58","27462","74","273","38"
"79","Rukum (West)","16027","2704","2433","50","15989","18","49","20"
"80","Salyan","36069","3768","4514","278","9166","49","758","70"
"81","Surkhet","50700","30314","10001","5028","1548","51","124","56"
"82","Bajura","7719","1385","1845","472","14648","189","1743","40"
"83","Bajhang","6877","4249","1909","137","24752","38","19","44"
"84","Darchula","2988","6921","222","278","17873","58","25","16"
"85","Baitadi","3148","5799","272","374","39323","160","295","36"
"86","Dadeldhura","9166","6142","644","935","13876","63","311","35"
"87","Doti","10700","4517","1785","364","27540","120","80","34"
"88","Achham","13119","2141","4329","179","29236","49","475","39"
"89","Kailali","85578","66481","5993","35771","1325","455","0","269"
"90","Kanchanpur","23375","55723","2915","28477","371","163","0","143"
